"sentence",translation
"That would not be the first time, but I hope it is the last.",Đó không phải lần đầu tiên nhưng tôi hy vọng đó là lần cuối cùng.
"She wanted him to find a rock as small as hers.",Cô ấy muốn anh ấy tìm một hòn đá nhỏ như hòn đá của cô ấy.
"Maybe if you hadn't found them, they would have moved.",Có lẽ nếu bạn không tìm thấy chúng thì chúng đã được dịch chuyển rồi.
"You must have heard those children climbing!",Bạn chắc đã nghe thấy tiếng lũ trẻ đó leo trèo!
"Don't tell me that you didn't look for a black leaf.",Đừng bảo tôi rằng bạn đã không tìm một chiếc lá màu đen.
"Who else could have planned for such a day?",Còn ai khác có thể lên kế hoạch cho một ngày như vậy cơ chứ?
"The first child will be ahead of the second by only a little.",Đứa trẻ thứ nhất sẽ dẫn trước đứa trẻ thứ hai chỉ một chút.
"They jumped here and there without ever finding it.",Họ nhảy từ chỗ này qua chỗ khác mà không tìm thấy nó.
"Digging was very hard, hence the low energy.",Đào bới rất mệt nhọc do đó sức lực giảm đi.
"She would otherwise be an only child.",Nếu không cô ấy sẽ là con một.
"He would have seen the tree if he had been bigger.",Anh ấy sẽ nhìn thấy cái cây nếu anh ấy lớn hơn.
"Maybe the fruit on the ground is good, but probably not.",Trái cây trên mặt đất kia có thể còn tốt nhưng cũng có thể là không.
"I was ahead of you years ago, but not anymore.",Tôi đã hơn bạn vài năm trước nhưng giờ thì không.
"I will find one sibling if they will find the other.",Tôi sẽ tìm một người anh chị em nếu họ tìm người còn lại.
"I couldn't call you at such a time!",Tôi đã không thể gọi cho bạn vào lúc đó!
"Where did they jump while you were looking at the stars?",Họ đã nhảy đi đâu trong khi bạn đang ngắm những vì sao?
"Don't move the yellow leaves until the year is over.",Đừng di chuyển những chiếc lá vàng trước khi hết năm.
"We didn't plan to hear it, but we still did.",Chúng tôi không định nghe nó nhưng chúng tôi vẫn nghe.
"When I look at you, I see a good parent.","Khi tôi nhìn thấy bạn, tôi nhìn thấy một phụ huynh tốt."
"At this time of day, no one else is home.",Giờ này trong ngày thì không có ai khác ở nhà.
"They have heard neither the white star nor the red star.",Họ chưa nghe về ngôi sao trắng hay ngôi sao đỏ.
"How many of those leaves are yellow?",Bao nhiêu chiếc lá trong số đó có màu vàng?
"By this time tomorrow, she will have climbed three trees.",Giờ này ngày mai cô ấy đã leo được ba cái cây rồi.
"She is closer than him to the wild fruit, but he can't see that.",Cô ấy ở gần quả dại hơn anh ấy nhưng anh ấy không thể nhìn thấy nó.
"What was she planning to tell you last night?",Cô ấy định nói gì với bạn tối qua vậy?
"I wouldn't climb that tree if I were you.",Tôi sẽ không leo cái cây đó nếu tôi là anh.
"He found it easy to jump over the leaves.",Anh ấy thấy rất dễ để nhảy qua những chiếc lá.
"At what time do they plan on moving those rocks?",Họ định di chuyển những cục đá đó lúc mấy giờ?
"I've always wanted to stay in a beach house.",Tôi luôn muốn ở trong một ngôi nhà bên bờ biển.
"The desert night was cold and dark.",Đêm ở sa mạc lạnh lẽo và tối tăm.
"Mike must be working in the field today.",Mike chắc hẳn đang làm việc ngoài đồng hôm nay.
"How far is the forest from home?",Khu rừng cách ngôi nhà bao xa?
"The lake was looking beautiful.",Hồ nước trông rất đẹp.
"The sea was rough.",Biển đã rất động.
"Which plants are not green?",Thực vật nào không có màu xanh?
"There are three small rooms in the house.",Ngôi nhà có ba phòng nhỏ.
"It was a sunny morning and by eight o'clock it was already hot.",Đó là một buổi sáng nhiều nắng và đến tám giờ trời đã nóng rồi.
"The night was calm and fresh.",Đêm đó yên tĩnh và trong lành.
"Put on your white dress.",Hãy mặc chiếc váy trắng của bạn.
"Why did you think I sent you the flower, and that chocolate?",Vì sao bạn nghĩ rằng tôi gửi hoa cho bạn và chiếc sô cô la đó nữa?
"I can make grass grow!",Tôi có thể làm cho cỏ mọc!
"She was close to realizing a lifetime goal.",Cô ấy đã gần nhận ra một mục tiêu của cuộc đời.
"Trees are truly life savers as they help reduce pollution.",Cây cối thực sự là cứu tinh của sự sống bởi chúng giúp giảm ô nhiễm.
"The climate on the coast is hot, humid, and unhealthy.",Khí hậu trên bờ biển là nóng ẩm và độc.
"Leafs are turning yellow due to dry weather.",Lá chuyển sang màu vàng vì thời tiết khô.
"The summer had been very dry and no berries grew.",Mùa hè đó rất khô và dâu đã không mọc được.
"The rocks are not too high to climb.",Những tảng đá đó quá cao để trèo.
"Fruits are beneficial for health as they provide energy to work.",Trái cây có lợi cho sức khỏe bởi chúng cung cấp năng lượng để làm việc.
"His shoes were covered with mud when he entered the house.",Giày của anh ấy dính toàn bùn khi anh ấy bước vào nhà.
"Indoor plants makes the house look attractive and pleasing.",Cây trong nhà giúp ngôi nhà trở nên đẹp và dễ chịu hơn.
"How bright a star can be? Have you ever thought about this?",Một ngôi sao sáng đến mức nào? Bạn đã từng suy nghĩ về việc này chưa?
"I wonder how the tree got so tall.",Tôi thắc mắc làm thế nào cái cây cao như vậy.
"They have yet to see the big beautiful white rock.",Họ chưa nhìn thấy tảng đá to màu trắng rất đẹp đó.
"I keep wondering why birds evolved to fly.",Tôi cứ thắc mắc vì sao loài chim lại tiến hóa để bay.
"I don't know what to pick.",Tôi không biết phải hái cái gì.
"I have just about finished picking the berries.",Tôi sắp hái xong dâu rồi.
"The climate is hot and very humid.",Khí hậu nóng và rất ẩm ướt.
"The scenery of the valley is just amazing.",Quang cảnh thung lũng rất tuyệt vời.
"The boy was no longer sleepy, but full of energy and excitement.",Cậu bé không còn buồn ngủ nữa mà tràn đầy năng lượng và hứng khởi.
"She covered her head as dirt rained over her.",Cô ấy che đầu trong khi đất cát rơi xuống cô ấy.
"It shouldn't be hard to dig in this sand.",Đào cát này không khó.
"There it was cool and quiet, with a scent of ripe fruit.",Ở đó mát mẻ và yên tĩnh với hương trái cây chín.
"Sunny in the morning but mostly cloudy by the evening.",Nhiều nắng vào buổi sáng nhưng đa phần nhiều mây cho đến tối.
"He went abroad to study higher.",Anh ấy đã ra nước ngoài để học cao hơn.
"Children were playing in park with a ball.",Những đứa trẻ đang chơi bóng trong công viên.
"The bird won't let me nearby.",Con chim sẽ không để tôi đến gần.
"I have eaten a piece of fruit.",Tôi đã ăn một miếng trái cây.
"Everything was budding and blossoming.",Mọi thứ đều đang hé nụ và đua nở.
"I will always be with you.",Tôi sẽ luôn ở bên bạn.
"The sun had set, and dusk settled over the ocean.",Mặt trời đã lặn và hoàng hôn đã phủ xuống đại dương.
"He is one of the best players.",Anh ấy là một trong những người chơi giỏi nhất.
"Sitting, that is the main thing to consider.","Ngồi, đó là vấn đề chính cần cân nhắc."
"The sight, sound, and scent of the ocean helped her relax.","Quang cảnh, âm thanh và mùi hương của đại dương đã giúp cô ấy thư giãn."
"There are clouds over the hills.",Trên những ngọn đồi là những đám mây.
"The sky is over my head.",Bầu trời ở trên đầu tôi.
"My house is across the bank.",Nhà tôi ở bên kia bờ.
"You should expect any weather from scorching hot to cold, wet and windy.",Bạn nên sẵn sàng với mọi kiểu thời tiết từ nóng như đổ lửa đến rét ẩm ướt và lộng gió.
"I have a pool behind my house.",Tôi có một bể bơi đằng sau nhà.
"I have done this task for your benefit.",Tôi đã làm công việc này vì lợi ích của bạn.
"We cannot live without water.",Chúng ta không thể sống mà thiếu nước.
"It's my pleasure to help you.",Tôi rất vui được giúp bạn.
"Playing is his only job.",Chơi là công việc duy nhất của anh ấy.
"We need to walk as far as we can tonight.",Chúng ta cần đi bộ xa nhất có thể tối nay.
"She throws rocks just about every day.",Cô ấy ném đá gần như hàng ngày.
"If you have the money use it wisely.",Nếu bạn có tiền thì hãy sử dụng nó một cách khôn ngoan.
"Someone is at the door.",Có ai đó ở ngoài cửa.
"Let's look at how this happened.",Hãy xem việc này đã diễn ra như thế nào.
"You better listen up.",Bạn nên lắng nghe.
"We are sure of success.",Chúng tôi chắc chắn thành công.
"He is quite punctual in following routines.",Anh ấy khá đúng giờ trong việc tuân theo các thói quen.
"I got your flowers but I forgot what they were for.",Tôi đã nhận những bông hoa của bạn nhưng tôi quên mất chúng để làm gì.
"He has been loving that one tree's fruit.",Anh ấy vẫn yêu quả của cái cây đó.
"This activity should not be attempted in windy conditions.",Không nên thử hoạt động này trong điều kiện nhiều gió.
"The research I found on the topic was limited.",Những nghiên cứu tôi tìm thấy về chủ đề đó là hạn chế.
"Where does all the rain water go?",Tất cả nước mưa đi đâu?
"Nature was at her peak, blending the wild blooms with various shades of green.","Thiên nhiên lộng lẫy, hòa quyện những đóa hoa dại với nhiều sắc xanh khác nhau."
"Water was dripping from the trees, and the grass was wet.",Nước đang nhỏ giọt từ cây và cỏ thì ướt.
"I hear that her mother is in another city.",Tôi nghe nói mẹ cô ấy đang ở một thành phố khác.
"If he is available, ask him to call me.","Nếu anh ấy rảnh, hãy bảo anh ấy gọi cho tôi."
"It is not a bad situation, don't worry.",Đó không phải là một tình huống xấu nên đừng lo.
"My teacher is very kind.",Giáo viên của tôi rất tốt tính.
"I went shopping in order to buy a new jeans.",Tôi đã đi mua một chiếc quần bò mới.
"She would take the animals out before he got home tonight.",Cô ấy sẽ đưa những con vật ra ngoài trước khi anh ấy về nhà tối nay.
"My dad never works on the weekends.",Bố tôi không bao giờ làm việc vào cuối tuần.
"She writes an e-mail to her best friend.",Cô ấy viết email cho người bạn thân nhất của cô ấy.
"The sun rises at the east.",Mặt trời mọc ở phía đông.
"George brushes his teeth twice a day.",George chải răng hai lần một ngày.
"When does the train usually leave?",Tàu thường rời ga khi nào?
"My cat runs very fast.",Con mèo của tôi chạy rất nhanh.
"He catches the train every morning.",Anh ấy bắt tàu vào mỗi buổi sáng.
"He loves to play basketball.",Anh ấy thích chơi bóng rổ.
"Does he go to river too?",Anh ấy cũng đi đến con sông ư?
"You'd better go in and get out of those wet clothes.",Bạn nên vào trong và cởi quần áo ướt đó ra.
"It usually rains every day here.",Ở đây thường mưa hàng ngày.
"It smells very delicious in the kitchen.",Trong bếp có mùi rất thơm ngon.
"They haven't been able to solve the problem yet.",Họ chưa giải quyết được vấn đề.
"It's about time you spent some money on yourself.",Sắp đến lúc bạn cần dành chút tiền cho bản thân rồi.
"You've always taken care of us.",Bạn luôn chăm sóc chúng tôi.
"There was always plenty of food.",Đã luôn có rất nhiều thức ăn.
"Be always brave and truthful, said his father.",Bố anh ấy đã nói rằng hãy luôn can đảm và trung thực.
"Tell them to bring me a leaf.",Hãy bảo họ mang cho tôi một chiếc lá.
"Why don't you sit down and rest and I'll bring you a piece of fruit.",Vì sao bạn không ngồi xuống nghỉ ngơi còn tôi sẽ mang cho bạn một món trái cây.
"We'll meet soon, brother.","Chúng ta sẽ sớm gặp nhau, anh trai à."
"Berries are quite delicious.",Dâu khá ngon.
"I have to find my lost key.",Tôi phải tìm chiếc chìa khóa bị đánh mất của mình.
"He put down the book and looked at the rock beneath him.",Anh ấy đặt quyển sách xuống và nhìn cục đá ở bên dưới anh ấy.
"I'm glad you like it.",Tôi rất vui khi bạn thích nó.
"We have some fruit waiting for us inside.",Trái cây đang chờ đợi chúng ta ở bên trong.
"She promised she would reserve a room for me.",Cô ấy đã hứa sẽ giữ một phòng cho tôi.
"Even the tiny flower petals looked vibrant.",Kể cả những cánh hoa bé xíu cũng trông rất sống động.
"Could you come by for dinner tonight?",Tối nay bạn có thể ghé qua dùng bữa tối không?
"She shivered in the chilly ocean breeze.",Cô ấy rùng mình trong cơn gió biển lạnh lẽo.
"I must have the land checked out.",Tôi phải kiểm tra mảnh đất.
"They can be divided into three groups.",Chúng có thể được chia thành ba nhóm.
"We may have good reason to be proud of ourselves.",Chúng ta có lý do chính đáng để tự hào về chính mình.
"It is necessary that he should be sent there at once.",Anh ấy cần phải được đưa đến đó ngay lập tức.
"I won't believe it unless I see it with my own eyes.",Tôi sẽ không tin nó nếu tôi không được tận mắt chứng kiến.
"I wish I had met my uncle yesterday.",Tôi ước gì tôi đã gặp chú của tôi ngày hôm qua.
"I won't phone my friend until they have arrived.",Tôi sẽ không gọi điện cho bạn của tôi cho đến khi họ đến.
"She enjoys cooking food on her own.",Cô ấy thích tự nấu ăn.
"It felt so good to be home.",Được ở nhà thật là thích.
"Everything was in good order except the boots.",Mọi thứ đều ngay ngắn ngoại trừ đôi ủng.
"If you go there, you will find him.","Nếu bạn đến đó, bạn sẽ tìm thấy anh ấy."
"A little girl said she heard about the cold breeze from around the way.",Một bé gái nói rằng cô ấy đã nghe về cơn gió lạnh từ khu vực lân cận.
"Today, I see some ripe fruit on that tree.",Hôm nay tôi trông thấy quả chín trên cây đó.
"They usually spent the morning hours in the forest.",Họ đã thường dành buổi sáng trong khu rừng.
"Who is your best friend?",Ai là người bạn thân nhất của bạn?
"She ate her fruit, took a walk, and then went back to sleep.","Cô ấy đã ăn trái cây, đi dạo và sau đó quay về ngủ."
"He loves to read, and he also loves to hike.",Anh ấy thích đọc sách và cũng thích leo núi.
"What is the true meaning of the poem?",Ý nghĩa thực sự của bài thơ là gì?
"You are showing both sides of an argument.",Bạn đang cho thấy cả hai mặt của một lập luận.
"You are describing a sequence of events.",Bạn đang mô tả một chuỗi sự kiện.
"I do not know a way to get to the moon.",Tôi không biết cách để lên mặt trăng.
"The warm sun shined on the trees and drew out all their fragrance.",Mặt trời ấm áp chiếu sáng những cái cây và gọi ra tất cả hương thơm của chúng.
"I enjoyed the stone that you brought for me.",Tôi thích viên đá bạn mang cho tôi.
"The girl ran into the forest.",Cô bé đã chạy vào rừng.
"He walked down the path.",Anh ấy đã đi xuống con đường.
"She laughed at the rabbit's activities.",Cô ấy đã cười trước những hành động của thỏ.
"Uncover the hole carefully.",Hãy gỡ miệng hố cẩn thận.
"I love the ocean because fish are so interesting to watch.",Tôi thích đại dương bởi vì xem cá thật thú vị.
"I drink juice every morning.",Tôi uống nước trái cây mỗi sáng.
"There's one piece left like yesterday.",Vẫn còn một miếng như ngày hôm qua.
"We waited for the train, but the train was late.",Chúng tôi đã đợi tàu nhưng tàu đến muộn.
"The weather was wonderful with its bright sunshine.",Thời tiết đã rất đẹp với ánh nắng rực rỡ.
"Many trees lost their leaves last winter.",Rất nhiều cây đã rụng lá vào mùa đông năm ngoái.
"The blue sky was cloudless.",Bầu trời xanh không một gợn mây.
"We walked through to the other side.",Chúng tôi đã đi xuyên qua bên kia.
"Does it snow when it is sunny?",Trời có đổ tuyết khi trời nắng không?
"Winter is over and spring has come.",Mùa đông đã qua và mùa xuân đã tới.
"The sky is full of stars.",Bầu trời đầy sao.
"Where do you want to go on a hike this weekend?",Bạn muốn đi leo núi ở đâu vào cuối tuần này?
"The moon goes around the earth.",Mặt trăng quay quanh trái đất.
"It was raining yesterday.",Ngày hôm qua trời mưa.
"The clouds are getting darker.",Mây đang dần tối đi.
"I saw a child standing near the waterfall.",Tôi đã trông thấy một đứa trẻ đứng gần thác nước.
"That one near the lake is chipping the rock.",Người gần cái hồ đang đẽo tảng đá.
"She buried her feet in the sand to keep them warm.",Cô ấy đã vùi chân xuống cát để giữ ấm.
"We have lovely trees around here.",Chúng ta có những cái cây rất đẹp xung quanh đây.
"There was no tree for shade in the forest, they all let the light through.","Không có cây nào đổ bóng râm trong rừng, chúng đều để ánh sáng xuyên qua."
"The land is covered with green grass.",Mặt đất được phủ bởi cỏ xanh.
"Do these bugs fly?",Những con bọ này có bay không?
"He dropped the leaf into the fire.",Anh ấy đã thả chiếc lá vào ngọn lửa.
"The birds drink from the still pool of water.",Lũ chim uống nước từ vũng nước tĩnh.
"They jump into the river.",Họ nhảy xuống sông.
"Birds are making their houses in the tree.",Chim làm tổ trong cây.
"Be careful of that broken branch.",Hãy cẩn thận với chiếc cành gãy đó.
"My friend works in the field.",Bạn tôi làm việc trên cánh đồng.
"We are riding into the forest today.",Hôm nay chúng tôi đang đi vào rừng.
"She ran harder up the hill.",Cô ấy đã gắng sức chạy lên ngọn đồi.
"This area has an abundant rainfall, dense forests, and fertile soil.","Khu vực này có nhiều mưa, rừng rậm rạp và đất đai phì nhiêu."
